run_id,latent_dim,metric_name,accumulation_method,value
139,39,log_likelihood,mean,54516.003438
140,40,log_likelihood,mean,56712.414186
141,41,log_likelihood,mean,56010.808417
142,42,log_likelihood,mean,58809.416970
143,43,log_likelihood,mean,61189.396611
144,44,log_likelihood,mean,60343.741724
145,45,log_likelihood,mean,65473.558342
146,46,log_likelihood,mean,66026.489545
147,47,log_likelihood,mean,63132.595799
148,48,log_likelihood,mean,68034.987690
149,49,log_likelihood,mean,67094.884817
150,50,log_likelihood,mean,70270.168265
151,1,log_likelihood,mean,-421.633645
152,2,log_likelihood,mean,-1340.390014
153,3,log_likelihood,mean,6508.422152
154,4,log_likelihood,mean,3360.760088
155,5,log_likelihood,mean,11496.483400
156,6,log_likelihood,mean,10749.381603
157,7,log_likelihood,mean,11777.537742
158,8,log_likelihood,mean,12282.025658
159,9,log_likelihood,mean,18251.248271
160,10,log_likelihood,mean,17532.894938
161,11,log_likelihood,mean,17696.215435
162,12,log_likelihood,mean,22060.259974
163,13,log_likelihood,mean,22816.750317
164,14,log_likelihood,mean,21935.541210
165,15,log_likelihood,mean,24887.413779
166,16,log_likelihood,mean,25605.285372
167,17,log_likelihood,mean,26408.767374
168,18,log_likelihood,mean,28864.483669
169,19,log_likelihood,mean,28320.721647
170,20,log_likelihood,mean,31129.115831
171,21,log_likelihood,mean,34622.394269
172,22,log_likelihood,mean,36210.418023
173,23,log_likelihood,mean,33676.010582
174,24,log_likelihood,mean,34028.001111
175,25,log_likelihood,mean,35693.405437
176,26,log_likelihood,mean,35400.054817
177,27,log_likelihood,mean,37325.990561
178,28,log_likelihood,mean,41328.515111
179,29,log_likelihood,mean,41982.249702
180,30,log_likelihood,mean,41385.414803
181,31,log_likelihood,mean,45215.310096
182,32,log_likelihood,mean,45744.958749
183,33,log_likelihood,mean,47876.695585
184,34,log_likelihood,mean,48666.317210
185,35,log_likelihood,mean,47291.221479
186,36,log_likelihood,mean,48278.354522
187,37,log_likelihood,mean,50826.149503
188,38,log_likelihood,mean,55805.669927
189,39,log_likelihood,mean,53438.991543
190,40,log_likelihood,mean,54667.095550
191,41,log_likelihood,mean,56945.552962
192,42,log_likelihood,mean,57174.323754
193,43,log_likelihood,mean,59404.531904
194,44,log_likelihood,mean,61150.388816
195,45,log_likelihood,mean,62872.494872
196,46,log_likelihood,mean,64906.764996
197,47,log_likelihood,mean,65669.233252
198,48,log_likelihood,mean,65703.805485
199,49,log_likelihood,mean,69843.254392
200,50,log_likelihood,mean,72929.994184
201,1,log_likelihood,mean,877.481950
202,2,log_likelihood,mean,5790.160722
203,3,log_likelihood,mean,4125.912155
204,4,log_likelihood,mean,8988.626583
205,5,log_likelihood,mean,10675.923974
206,6,log_likelihood,mean,13964.512116
207,7,log_likelihood,mean,13574.939636
208,8,log_likelihood,mean,16762.777495
209,9,log_likelihood,mean,16467.343121
210,10,log_likelihood,mean,15438.972763
211,11,log_likelihood,mean,20457.257292
212,12,log_likelihood,mean,21106.252018
213,13,log_likelihood,mean,21535.508590
214,14,log_likelihood,mean,21154.885286
215,15,log_likelihood,mean,24790.679367
216,16,log_likelihood,mean,26472.611925
217,17,log_likelihood,mean,26767.734070
218,18,log_likelihood,mean,28480.295152
219,19,log_likelihood,mean,30370.695524
220,20,log_likelihood,mean,28615.953730
221,21,log_likelihood,mean,28536.388665
222,22,log_likelihood,mean,33208.546630
223,23,log_likelihood,mean,35849.767014
224,24,log_likelihood,mean,36108.591660
225,25,log_likelihood,mean,37215.086693
226,26,log_likelihood,mean,38119.765321
227,27,log_likelihood,mean,39106.289608
228,28,log_likelihood,mean,41191.517814
229,29,log_likelihood,mean,44218.220235
230,30,log_likelihood,mean,44340.264417
231,31,log_likelihood,mean,44887.536649
232,32,log_likelihood,mean,44231.665628
233,33,log_likelihood,mean,47448.319694
234,34,log_likelihood,mean,50455.232170
235,35,log_likelihood,mean,49636.309538
236,36,log_likelihood,mean,51165.247563
237,37,log_likelihood,mean,52861.726561
238,38,log_likelihood,mean,56015.031904
239,39,log_likelihood,mean,55448.391663
240,40,log_likelihood,mean,58460.726232
241,41,log_likelihood,mean,58245.153802
242,42,log_likelihood,mean,54441.506491
243,43,log_likelihood,mean,61637.573185
244,44,log_likelihood,mean,61313.150942
245,45,log_likelihood,mean,61470.467901
246,46,log_likelihood,mean,64001.402090
247,47,log_likelihood,mean,66703.317126
248,48,log_likelihood,mean,69911.461762
249,49,log_likelihood,mean,68318.635803
250,50,log_likelihood,mean,72525.353616
1,1,rmse_smoothed,mean,0.426260
2,2,rmse_smoothed,mean,0.005282
3,3,rmse_smoothed,mean,0.009946
4,4,rmse_smoothed,mean,0.004105
5,5,rmse_smoothed,mean,0.007347
6,6,rmse_smoothed,mean,0.001782
7,7,rmse_smoothed,mean,0.002832
8,8,rmse_smoothed,mean,0.003422
9,9,rmse_smoothed,mean,0.004466
10,10,rmse_smoothed,mean,0.003533
11,11,rmse_smoothed,mean,0.008309
12,12,rmse_smoothed,mean,0.004870
13,13,rmse_smoothed,mean,0.003030
14,14,rmse_smoothed,mean,0.003782
15,15,rmse_smoothed,mean,0.002976
16,16,rmse_smoothed,mean,0.003685
17,17,rmse_smoothed,mean,0.003136
18,18,rmse_smoothed,mean,0.005016
19,19,rmse_smoothed,mean,0.003159
20,20,rmse_smoothed,mean,0.002141
21,21,rmse_smoothed,mean,0.003857
22,22,rmse_smoothed,mean,0.009798
23,23,rmse_smoothed,mean,0.004288
24,24,rmse_smoothed,mean,0.003064
25,25,rmse_smoothed,mean,0.004938
26,26,rmse_smoothed,mean,0.010342
27,27,rmse_smoothed,mean,0.004915
28,28,rmse_smoothed,mean,0.004616
29,29,rmse_smoothed,mean,0.008498
30,30,rmse_smoothed,mean,0.003865
31,31,rmse_smoothed,mean,0.014077
32,32,rmse_smoothed,mean,0.015002
33,33,rmse_smoothed,mean,0.011024
34,34,rmse_smoothed,mean,0.010151
35,35,rmse_smoothed,mean,0.013799
36,36,rmse_smoothed,mean,0.003531
37,37,rmse_smoothed,mean,0.007799
38,38,rmse_smoothed,mean,0.015522
39,39,rmse_smoothed,mean,0.014632
40,40,rmse_smoothed,mean,0.004723
41,41,rmse_smoothed,mean,0.012362
42,42,rmse_smoothed,mean,0.020898
43,43,rmse_smoothed,mean,0.006165
44,44,rmse_smoothed,mean,0.007725
45,45,rmse_smoothed,mean,0.014658
46,46,rmse_smoothed,mean,0.004388
47,47,rmse_smoothed,mean,0.011135
48,48,rmse_smoothed,mean,0.007612
49,49,rmse_smoothed,mean,0.007810
50,50,rmse_smoothed,mean,0.010545
51,1,rmse_smoothed,mean,0.579674
52,2,rmse_smoothed,mean,0.002451
53,3,rmse_smoothed,mean,0.037641
54,4,rmse_smoothed,mean,0.003541
55,5,rmse_smoothed,mean,0.003385
56,6,rmse_smoothed,mean,0.005696
57,7,rmse_smoothed,mean,0.003390
58,8,rmse_smoothed,mean,0.002776
59,9,rmse_smoothed,mean,0.008424
60,10,rmse_smoothed,mean,0.003479
61,11,rmse_smoothed,mean,0.003625
62,12,rmse_smoothed,mean,0.002731
63,13,rmse_smoothed,mean,0.002890
64,14,rmse_smoothed,mean,0.007088
65,15,rmse_smoothed,mean,0.003666
66,16,rmse_smoothed,mean,0.009735
67,17,rmse_smoothed,mean,0.003662
68,18,rmse_smoothed,mean,0.008728
69,19,rmse_smoothed,mean,0.001905
70,20,rmse_smoothed,mean,0.005353
71,21,rmse_smoothed,mean,0.005066
72,22,rmse_smoothed,mean,0.002707
73,23,rmse_smoothed,mean,0.005910
74,24,rmse_smoothed,mean,0.003809
75,25,rmse_smoothed,mean,0.004812
76,26,rmse_smoothed,mean,0.011371
77,27,rmse_smoothed,mean,0.005720
78,28,rmse_smoothed,mean,0.007666
79,29,rmse_smoothed,mean,0.008322
80,30,rmse_smoothed,mean,0.004090
81,31,rmse_smoothed,mean,0.008238
82,32,rmse_smoothed,mean,0.005548
83,33,rmse_smoothed,mean,0.004959
84,34,rmse_smoothed,mean,0.012753
85,35,rmse_smoothed,mean,0.005052
86,36,rmse_smoothed,mean,0.005213
87,37,rmse_smoothed,mean,0.006178
88,38,rmse_smoothed,mean,0.017872
89,39,rmse_smoothed,mean,0.009368
90,40,rmse_smoothed,mean,0.006552
91,41,rmse_smoothed,mean,0.015813
92,42,rmse_smoothed,mean,0.011509
93,43,rmse_smoothed,mean,0.005994
94,44,rmse_smoothed,mean,0.018374
95,45,rmse_smoothed,mean,0.008998
96,46,rmse_smoothed,mean,0.008558
97,47,rmse_smoothed,mean,0.008018
98,48,rmse_smoothed,mean,0.019242
99,49,rmse_smoothed,mean,0.009912
100,50,rmse_smoothed,mean,0.009905
101,1,rmse_smoothed,mean,0.427306
102,2,rmse_smoothed,mean,0.009084
103,3,rmse_smoothed,mean,0.004325
104,4,rmse_smoothed,mean,0.001718
105,5,rmse_smoothed,mean,0.007228
106,6,rmse_smoothed,mean,0.004298
107,7,rmse_smoothed,mean,0.004917
108,8,rmse_smoothed,mean,0.006580
109,9,rmse_smoothed,mean,0.005096
110,10,rmse_smoothed,mean,0.003166
111,11,rmse_smoothed,mean,0.004566
112,12,rmse_smoothed,mean,0.001841
113,13,rmse_smoothed,mean,0.003444
114,14,rmse_smoothed,mean,0.005690
115,15,rmse_smoothed,mean,0.003090
116,16,rmse_smoothed,mean,0.005669
117,17,rmse_smoothed,mean,0.004108
118,18,rmse_smoothed,mean,0.012480
119,19,rmse_smoothed,mean,0.010248
120,20,rmse_smoothed,mean,0.006691
121,21,rmse_smoothed,mean,0.004109
122,22,rmse_smoothed,mean,0.003936
123,23,rmse_smoothed,mean,0.003724
124,24,rmse_smoothed,mean,0.009353
125,25,rmse_smoothed,mean,0.003878
126,26,rmse_smoothed,mean,0.004901
127,27,rmse_smoothed,mean,0.005348
128,28,rmse_smoothed,mean,0.002509
129,29,rmse_smoothed,mean,0.007441
130,30,rmse_smoothed,mean,0.005195
131,31,rmse_smoothed,mean,0.005475
132,32,rmse_smoothed,mean,0.004799
133,33,rmse_smoothed,mean,0.011222
134,34,rmse_smoothed,mean,0.004309
135,35,rmse_smoothed,mean,0.014225
136,36,rmse_smoothed,mean,0.016418
137,37,rmse_smoothed,mean,0.006935
138,38,rmse_smoothed,mean,0.013862
139,39,rmse_smoothed,mean,0.013388
140,40,rmse_smoothed,mean,0.007395
141,41,rmse_smoothed,mean,0.032825
142,42,rmse_smoothed,mean,0.010909
143,43,rmse_smoothed,mean,0.004759
144,44,rmse_smoothed,mean,0.003629
145,45,rmse_smoothed,mean,0.008148
146,46,rmse_smoothed,mean,0.021372
147,47,rmse_smoothed,mean,0.017252
148,48,rmse_smoothed,mean,0.021888
149,49,rmse_smoothed,mean,0.019905
150,50,rmse_smoothed,mean,0.009146
151,1,rmse_smoothed,mean,0.249346
152,2,rmse_smoothed,mean,0.443555
153,3,rmse_smoothed,mean,0.005732
154,4,rmse_smoothed,mean,0.044734
155,5,rmse_smoothed,mean,0.002731
156,6,rmse_smoothed,mean,0.003379
157,7,rmse_smoothed,mean,0.002880
158,8,rmse_smoothed,mean,0.007060
159,9,rmse_smoothed,mean,0.001935
160,10,rmse_smoothed,mean,0.005244
161,11,rmse_smoothed,mean,0.003269
162,12,rmse_smoothed,mean,0.001265
163,13,rmse_smoothed,mean,0.004066
164,14,rmse_smoothed,mean,0.006442
165,15,rmse_smoothed,mean,0.002596
166,16,rmse_smoothed,mean,0.004248
167,17,rmse_smoothed,mean,0.002871
168,18,rmse_smoothed,mean,0.003736
169,19,rmse_smoothed,mean,0.003537
170,20,rmse_smoothed,mean,0.002743
171,21,rmse_smoothed,mean,0.003641
172,22,rmse_smoothed,mean,0.003166
173,23,rmse_smoothed,mean,0.007945
174,24,rmse_smoothed,mean,0.011433
175,25,rmse_smoothed,mean,0.002880
176,26,rmse_smoothed,mean,0.002482
177,27,rmse_smoothed,mean,0.006580
178,28,rmse_smoothed,mean,0.007368
179,29,rmse_smoothed,mean,0.004481
180,30,rmse_smoothed,mean,0.013488
181,31,rmse_smoothed,mean,0.007765
182,32,rmse_smoothed,mean,0.004695
183,33,rmse_smoothed,mean,0.009549
184,34,rmse_smoothed,mean,0.002932
185,35,rmse_smoothed,mean,0.013695
186,36,rmse_smoothed,mean,0.013858
187,37,rmse_smoothed,mean,0.013383
188,38,rmse_smoothed,mean,0.007199
189,39,rmse_smoothed,mean,0.004357
190,40,rmse_smoothed,mean,0.014606
191,41,rmse_smoothed,mean,0.011983
192,42,rmse_smoothed,mean,0.009126
193,43,rmse_smoothed,mean,0.021913
194,44,rmse_smoothed,mean,0.011576
195,45,rmse_smoothed,mean,0.027938
196,46,rmse_smoothed,mean,0.011342
197,47,rmse_smoothed,mean,0.004799
198,48,rmse_smoothed,mean,0.018867
199,49,rmse_smoothed,mean,0.006954
200,50,rmse_smoothed,mean,0.010811
201,1,rmse_smoothed,mean,0.428944
202,2,rmse_smoothed,mean,0.002134
203,3,rmse_smoothed,mean,0.007684
204,4,rmse_smoothed,mean,0.007600
205,5,rmse_smoothed,mean,0.002546
206,6,rmse_smoothed,mean,0.002878
207,7,rmse_smoothed,mean,0.003448
208,8,rmse_smoothed,mean,0.004401
209,9,rmse_smoothed,mean,0.002054
210,10,rmse_smoothed,mean,0.002583
211,11,rmse_smoothed,mean,0.002701
212,12,rmse_smoothed,mean,0.003823
